chain,protocol,source,source_port,destination,destination_port,action
OUTPUT,tcp,156.249.6.12,37499,123.96.181.119,19131,DROP
FORWARD,udp,11.230.132.169,23992,105.16.50.209,5950,DROP
OUTPUT,tcp,8.27.141.90,13484,130.216.39.3,15847,DROP
FORWARD,tcp,53.206.200.51,36630,202.75.234.229,28662,ACCEPT
OUTPUT,tcp,231.246.3.183,53601,188.80.0.222,326,DROP
FORWARD,tcp,177.44.119.175,40621,65.109.193.221,21074,DROP
OUTPUT,tcp,98.19.166.123,24396,55.49.215.22,38262,ACCEPT
INPUT,udp,172.173.37.35,64915,134.178.223.247,55216,ACCEPT
INPUT,udp,153.252.227.2,6022,80.190.85.212,32549,DROP
FORWARD,udp,66.96.92.3,43920,12.209.100.2,1441,DROP
INPUT,tcp,41.195.163.31,38308,229.35.155.157,19254,ACCEPT
OUTPUT,tcp,14.208.252.84,39734,17.105.71.108,53225,DROP
FORWARD,udp,222.120.130.105,62941,68.20.243.200,6555,ACCEPT
FORWARD,udp,94.158.101.246,32578,13.125.246.186,52218,DROP
FORWARD,udp,195.95.106.100,47380,251.177.145.219,18129,DROP
FORWARD,tcp,13.213.25.251,62163,47.196.147.251,49283,DROP
OUTPUT,udp,1.77.136.119,22834,53.235.252.145,22079,ACCEPT
OUTPUT,udp,73.123.209.29,63453,224.156.82.251,35453,DROP
OUTPUT,udp,15.85.163.87,25376,114.8.188.15,21279,DROP
INPUT,tcp,251.160.49.128,31912,83.93.186.145,22530,DROP
FORWARD,tcp,7.158.107.42,60308,90.77.83.60,46689,ACCEPT
OUTPUT,tcp,120.104.229.115,12461,232.253.164.52,36041,ACCEPT
INPUT,tcp,15.160.122.232,40169,140.32.123.46,23344,DROP
FORWARD,tcp,77.103.71.104,2041,179.214.253.5,12639,DROP
FORWARD,tcp,61.119.74.64,48829,230.12.200.46,53553,ACCEPT
INPUT,tcp,196.63.9.127,6511,109.50.8.9,2747,DROP
INPUT,udp,95.151.219.22,52811,25.253.89.27,11775,DROP
INPUT,tcp,119.82.74.219,36349,40.46.163.24,34794,DROP
INPUT,udp,107.155.0.98,21367,218.107.105.48,1559,DROP
FORWARD,udp,98.1.148.74,1061,136.41.8.124,37309,DROP
FORWARD,tcp,109.165.230.39,6435,66.114.58.143,39817,DROP
OUTPUT,tcp,129.242.13.186,20399,57.2.33.42,46085,DROP
OUTPUT,udp,199.128.78.185,9633,90.205.93.53,29696,DROP
OUTPUT,tcp,67.170.121.125,65046,57.203.28.139,35054,ACCEPT
FORWARD,udp,34.49.153.77,16108,29.84.9.154,49449,ACCEPT
FORWARD,udp,233.119.139.192,32257,108.104.79.50,53193,DROP
INPUT,udp,79.240.135.145,11866,138.126.77.40,6418,DROP
OUTPUT,tcp,95.128.215.146,51153,39.73.207.212,8421,DROP
FORWARD,udp,150.64.178.234,55847,90.81.228.47,36356,ACCEPT
FORWARD,tcp,107.15.196.196,33098,152.149.197.27,44662,ACCEPT
INPUT,udp,98.255.167.61,1804,80.6.213.202,4051,DROP
OUTPUT,tcp,49.133.29.44,4933,164.89.242.125,28937,DROP
FORWARD,tcp,227.98.203.238,55090,244.51.110.158,29323,ACCEPT
FORWARD,udp,155.195.231.19,44079,165.236.16.194,19632,DROP
INPUT,udp,11.122.237.48,36724,120.224.237.173,37823,DROP
INPUT,tcp,164.176.75.87,29298,201.128.48.101,583,DROP
INPUT,tcp,168.37.119.141,22836,159.148.181.27,53686,DROP
OUTPUT,tcp,137.9.166.118,38305,62.85.221.124,3247,DROP
INPUT,udp,129.51.3.7,50971,244.145.122.211,5822,DROP
OUTPUT,udp,42.18.186.251,48571,177.169.34.148,5721,ACCEPT
INPUT,udp,238.140.85.51,60,41.89.61.89,31135,DROP
INPUT,tcp,163.55.21.129,4189,83.225.120.238,15296,DROP
FORWARD,udp,106.157.189.218,51471,27.197.160.146,263,DROP
FORWARD,tcp,26.42.57.35,28569,165.182.234.122,9763,DROP
INPUT,tcp,5.8.87.113,14112,223.194.60.189,6825,DROP
FORWARD,udp,175.66.253.237,8215,177.91.113.63,16752,DROP
FORWARD,tcp,111.122.223.179,34580,170.86.16.44,61734,DROP
FORWARD,tcp,227.14.249.252,25456,233.242.14.186,57682,ACCEPT
INPUT,udp,163.100.154.160,61076,41.38.97.157,39492,DROP
INPUT,tcp,201.53.61.42,21884,192.41.53.113,1457,DROP
FORWARD,tcp,53.190.44.161,38461,184.11.17.49,34117,DROP
INPUT,udp,234.149.63.255,54412,83.24.172.104,36402,ACCEPT
INPUT,udp,4.194.114.243,13899,216.211.27.41,46760,DROP
FORWARD,tcp,99.58.160.71,53872,34.11.75.140,38925,DROP
FORWARD,udp,45.44.120.190,41704,240.29.235.108,568,DROP
INPUT,udp,112.182.100.73,42901,161.156.186.185,39971,DROP
FORWARD,udp,239.96.20.89,45370,147.131.51.182,47177,ACCEPT
INPUT,udp,154.223.231.127,21876,105.97.255.199,12690,DROP
OUTPUT,tcp,188.26.111.53,11156,40.168.198.74,48045,ACCEPT
INPUT,tcp,211.153.143.100,59434,150.194.35.18,27017,ACCEPT
INPUT,tcp,107.228.68.249,15646,207.244.28.20,30355,DROP
OUTPUT,tcp,52.174.106.219,15631,227.107.189.240,9301,DROP
INPUT,tcp,253.122.106.94,18748,17.140.116.224,25647,DROP
FORWARD,udp,70.94.31.93,26451,216.212.167.212,18136,ACCEPT
INPUT,udp,128.130.70.203,33514,109.249.247.86,57168,ACCEPT
FORWARD,tcp,116.27.183.84,43782,11.62.3.139,38585,ACCEPT
OUTPUT,udp,106.109.240.12,34303,131.159.2.115,34739,ACCEPT
INPUT,udp,245.108.148.87,62770,245.213.180.206,18071,ACCEPT
INPUT,tcp,213.34.216.109,13329,50.42.253.113,21367,ACCEPT
INPUT,tcp,110.120.103.214,7168,5.206.167.121,49094,DROP
INPUT,udp,231.165.28.69,489,23.177.175.97,58832,ACCEPT
INPUT,udp,166.213.208.174,1034,127.246.63.224,9524,DROP
OUTPUT,tcp,106.98.162.224,53130,195.221.170.174,20093,ACCEPT
OUTPUT,tcp,119.27.89.12,54364,98.143.44.114,40686,ACCEPT
INPUT,udp,92.49.79.216,5049,64.110.14.230,5770,ACCEPT
OUTPUT,tcp,20.62.147.172,54104,247.109.207.214,23689,DROP
INPUT,tcp,23.198.167.102,35384,213.0.222.35,56780,ACCEPT
INPUT,tcp,130.218.99.57,47874,236.36.171.35,42467,ACCEPT
FORWARD,tcp,8.252.42.71,20307,105.52.64.79,46173,ACCEPT
FORWARD,udp,223.243.96.188,33737,61.19.206.14,23434,DROP
INPUT,tcp,159.46.108.15,33019,126.180.223.65,10649,ACCEPT
INPUT,tcp,148.176.20.93,20580,14.200.106.164,61928,ACCEPT
INPUT,tcp,156.154.131.158,49057,106.132.239.29,61862,DROP
FORWARD,udp,178.135.15.182,27264,191.96.34.156,4205,DROP
INPUT,tcp,189.182.212.53,32248,147.61.207.65,34496,DROP
OUTPUT,udp,122.104.140.221,38067,167.193.192.130,20953,ACCEPT
FORWARD,udp,87.50.160.227,54714,229.143.81.192,33051,DROP
OUTPUT,tcp,240.242.102.41,59452,132.5.119.118,49047,ACCEPT
OUTPUT,tcp,160.109.62.249,33864,153.58.18.173,57514,DROP
OUTPUT,udp,21.236.96.124,17314,182.155.248.35,28086,ACCEPT
INPUT,udp,170.184.127.147,34661,69.127.189.63,60818,ACCEPT
OUTPUT,udp,87.246.155.77,47365,189.200.174.255,28420,DROP
FORWARD,udp,246.132.217.239,258,94.195.48.60,8328,ACCEPT
OUTPUT,tcp,8.26.229.28,57596,138.56.116.149,44772,ACCEPT
FORWARD,udp,193.102.110.33,45966,182.211.72.101,10587,ACCEPT
INPUT,udp,119.13.237.58,2415,148.15.164.112,56235,DROP
FORWARD,udp,70.146.149.211,38621,245.205.100.73,61021,DROP
INPUT,udp,101.226.226.206,56237,219.177.96.114,20055,DROP
OUTPUT,tcp,253.127.127.177,53030,19.160.81.91,45487,DROP
FORWARD,tcp,223.251.253.70,29983,220.36.194.63,2160,DROP
OUTPUT,tcp,30.1.106.50,17423,122.39.188.156,11384,ACCEPT
FORWARD,udp,35.181.74.197,49410,133.34.15.167,59549,ACCEPT
OUTPUT,tcp,85.200.75.65,53750,188.136.101.192,5228,ACCEPT
FORWARD,tcp,124.215.210.236,56168,69.222.151.243,10017,ACCEPT
FORWARD,tcp,130.11.73.121,21560,46.57.141.149,62944,ACCEPT
OUTPUT,tcp,225.61.87.90,8739,168.249.236.214,30386,DROP
INPUT,tcp,11.194.107.95,31124,166.228.48.21,36292,DROP
FORWARD,udp,114.91.8.171,35468,186.29.232.206,47463,DROP
OUTPUT,tcp,134.134.218.72,13551,184.124.101.27,49255,DROP
INPUT,udp,199.43.75.120,42813,18.41.237.118,55140,ACCEPT
OUTPUT,tcp,155.103.227.124,58968,173.169.2.110,32140,ACCEPT
INPUT,udp,163.32.82.94,54618,41.53.218.221,19429,DROP
FORWARD,tcp,87.100.49.98,59954,151.160.51.70,64365,DROP
INPUT,udp,86.228.35.97,43329,189.214.65.60,15027,ACCEPT
FORWARD,udp,97.234.169.21,50028,2.141.83.138,2674,DROP
OUTPUT,tcp,46.23.219.187,43768,148.65.134.53,9981,DROP
FORWARD,udp,166.206.19.141,9905,114.176.251.28,10451,ACCEPT
INPUT,tcp,164.238.86.249,25801,86.1.223.146,8439,ACCEPT
FORWARD,tcp,47.182.159.239,31898,124.104.87.75,24578,ACCEPT
OUTPUT,tcp,234.252.48.80,61822,255.184.94.107,28163,DROP
FORWARD,udp,215.21.159.226,46900,152.194.136.80,15753,ACCEPT
INPUT,udp,208.74.66.223,25180,209.236.76.37,40732,DROP
FORWARD,tcp,216.210.119.23,57746,232.190.123.119,33050,DROP
FORWARD,udp,255.26.230.67,28445,31.156.202.166,18665,ACCEPT
INPUT,udp,11.251.70.106,61659,217.38.84.225,30379,DROP
INPUT,tcp,241.167.215.205,56923,104.238.39.7,29717,ACCEPT
OUTPUT,tcp,88.90.78.62,64730,228.38.241.91,43563,ACCEPT
FORWARD,udp,76.166.209.242,17917,3.115.241.85,17485,DROP
OUTPUT,udp,82.228.53.64,54164,7.14.93.244,16596,ACCEPT
OUTPUT,udp,207.160.107.167,36993,65.68.73.230,3649,DROP
INPUT,tcp,64.165.42.230,14089,246.155.115.133,62899,ACCEPT
FORWARD,tcp,23.238.13.56,64872,125.177.51.59,34125,ACCEPT
FORWARD,tcp,229.107.220.245,33521,235.244.79.104,11929,ACCEPT
INPUT,udp,188.232.177.196,29977,152.250.130.28,65534,DROP
INPUT,udp,220.14.154.214,54727,150.29.202.89,62970,ACCEPT
FORWARD,udp,56.14.123.105,18720,104.10.58.205,24014,ACCEPT
FORWARD,tcp,16.109.253.248,39196,43.228.182.60,16766,ACCEPT
INPUT,tcp,23.247.28.83,64644,189.206.234.33,58604,ACCEPT
FORWARD,udp,82.121.45.80,2052,136.58.76.160,60037,DROP
INPUT,tcp,57.205.113.251,51027,130.3.10.79,38399,ACCEPT
INPUT,tcp,38.110.55.140,37641,195.24.50.175,37397,ACCEPT
OUTPUT,udp,122.67.195.17,11276,176.132.161.242,47552,ACCEPT
OUTPUT,tcp,111.91.70.219,38107,55.140.252.16,1803,ACCEPT
INPUT,udp,77.122.67.53,56499,198.173.118.148,36950,DROP
FORWARD,tcp,163.225.176.155,62301,100.10.224.164,5069,ACCEPT
OUTPUT,tcp,15.35.196.145,50637,5.255.101.136,28224,ACCEPT
OUTPUT,tcp,72.26.109.153,5031,247.68.49.212,32759,DROP
FORWARD,udp,251.233.7.21,31745,161.60.19.118,21422,DROP
FORWARD,udp,96.164.54.120,27535,62.61.142.250,58071,ACCEPT
INPUT,tcp,19.13.192.154,5940,243.97.52.160,65089,ACCEPT
OUTPUT,udp,176.57.102.234,2823,125.114.57.59,27798,DROP
OUTPUT,tcp,42.162.191.175,57654,63.123.216.199,40165,ACCEPT
OUTPUT,udp,14.247.71.195,7982,218.51.213.90,57154,ACCEPT
INPUT,tcp,162.218.73.163,35687,208.103.251.165,4773,ACCEPT
FORWARD,udp,218.140.77.186,34073,79.123.70.103,56867,DROP
INPUT,udp,146.141.77.230,10678,145.187.232.141,30921,DROP
INPUT,udp,173.155.175.73,11964,251.233.219.46,43334,ACCEPT
FORWARD,udp,65.104.240.19,22584,39.58.224.77,459,DROP
FORWARD,udp,165.147.129.83,40823,156.230.94.208,58549,ACCEPT
INPUT,udp,41.28.177.113,35700,147.214.189.85,15000,DROP
INPUT,udp,119.194.135.44,59200,234.2.206.81,20434,DROP
OUTPUT,udp,221.121.21.247,52530,37.70.199.223,46633,DROP
FORWARD,udp,110.30.114.67,47884,211.199.101.237,46464,ACCEPT
FORWARD,tcp,2.223.179.190,15608,218.153.237.210,16675,ACCEPT
INPUT,udp,140.95.211.78,49263,227.168.211.253,51504,DROP
INPUT,tcp,153.198.167.17,59446,11.155.22.45,33771,ACCEPT
INPUT,udp,181.113.36.117,65038,12.35.128.91,32556,ACCEPT
FORWARD,udp,222.83.154.95,62282,37.66.39.108,59822,DROP
INPUT,tcp,235.122.234.240,14492,143.247.85.62,24630,ACCEPT
OUTPUT,tcp,104.211.90.168,52980,113.92.48.215,55444,DROP
FORWARD,udp,143.31.112.94,51481,149.178.170.189,11914,ACCEPT
INPUT,udp,43.183.72.229,53746,217.201.119.205,60869,ACCEPT
OUTPUT,udp,139.20.11.40,46182,218.221.113.191,62518,ACCEPT
FORWARD,udp,185.131.6.0,46415,200.158.221.167,9395,DROP
OUTPUT,tcp,221.224.30.92,21915,71.52.22.213,942,ACCEPT
FORWARD,tcp,198.217.165.191,49979,164.219.225.118,32057,ACCEPT
OUTPUT,tcp,208.9.151.196,24396,221.78.150.128,57681,DROP
INPUT,udp,184.230.209.101,12457,166.71.209.69,57566,DROP
OUTPUT,tcp,53.57.222.124,25940,50.61.172.250,5754,ACCEPT
FORWARD,udp,190.67.174.201,58004,186.180.219.146,20509,DROP
INPUT,udp,115.205.178.94,58264,174.106.226.133,10506,ACCEPT
INPUT,udp,50.93.66.54,35920,156.8.112.213,60327,ACCEPT
INPUT,udp,109.103.134.255,19551,153.196.19.89,53806,DROP
INPUT,tcp,174.206.82.209,23024,218.53.28.127,32052,DROP
OUTPUT,udp,96.229.74.171,43603,228.252.146.167,31049,DROP
INPUT,udp,201.214.164.50,5526,9.245.69.104,16969,ACCEPT
FORWARD,udp,195.153.74.123,20440,128.39.192.129,64618,ACCEPT
FORWARD,tcp,38.105.16.38,16416,138.29.210.126,55996,DROP
FORWARD,udp,42.113.106.84,26641,48.168.246.42,13245,DROP
FORWARD,udp,85.138.76.54,55775,56.11.66.216,51222,ACCEPT
FORWARD,udp,136.221.92.1,38027,239.166.144.104,22236,ACCEPT
FORWARD,udp,142.162.180.75,40859,116.121.112.148,60372,ACCEPT
FORWARD,tcp,119.194.170.74,40399,103.124.36.149,4483,ACCEPT
FORWARD,udp,97.33.219.158,46249,53.148.51.128,30814,DROP
INPUT,tcp,20.194.195.31,49601,117.89.1.49,23719,ACCEPT
OUTPUT,tcp,126.11.208.29,41535,140.127.71.151,13863,DROP
OUTPUT,tcp,168.12.136.232,15030,54.214.144.254,44686,ACCEPT
INPUT,tcp,229.83.157.9,5974,10.60.53.100,44724,DROP
OUTPUT,udp,245.36.210.75,18783,223.174.221.65,44577,ACCEPT
INPUT,udp,204.16.51.124,46185,231.243.72.124,11952,ACCEPT
FORWARD,udp,229.8.130.175,39935,227.167.138.238,31836,ACCEPT
FORWARD,udp,169.220.109.224,23707,141.177.194.7,29652,DROP
INPUT,tcp,2.91.50.164,15671,33.177.225.42,10416,DROP
INPUT,udp,87.185.146.88,50215,6.14.86.117,19525,DROP
FORWARD,tcp,78.125.211.35,34596,221.105.48.191,16615,ACCEPT
FORWARD,udp,203.146.125.31,39327,111.191.233.11,64893,DROP
OUTPUT,udp,125.202.235.196,60642,75.68.104.92,22770,DROP
OUTPUT,udp,251.255.50.68,51642,170.45.174.168,31132,ACCEPT
OUTPUT,tcp,168.0.48.23,63140,249.142.41.80,50841,DROP
INPUT,udp,140.20.102.167,23743,157.97.26.39,34950,DROP
OUTPUT,udp,39.166.241.66,62629,142.153.62.138,11713,ACCEPT
INPUT,udp,10.70.65.229,30308,200.137.80.245,12681,ACCEPT
FORWARD,udp,178.169.154.124,40278,235.219.3.59,38953,DROP
FORWARD,tcp,129.143.145.45,3186,100.30.207.253,23215,ACCEPT
INPUT,tcp,207.89.127.44,3406,18.27.71.220,30865,ACCEPT
OUTPUT,udp,141.3.199.86,10132,165.65.177.183,7568,ACCEPT
FORWARD,udp,42.66.116.237,8535,239.146.78.43,48790,DROP
OUTPUT,udp,142.200.124.13,9372,86.169.80.98,45919,DROP
INPUT,tcp,69.86.63.176,34639,177.173.125.95,51188,DROP
OUTPUT,tcp,172.233.204.248,13461,29.60.242.202,49132,DROP
OUTPUT,udp,134.170.247.109,41323,133.83.196.162,21069,ACCEPT
INPUT,udp,59.3.95.127,27666,93.41.190.200,26699,DROP
FORWARD,udp,171.245.143.36,18651,122.179.39.214,53792,DROP
FORWARD,tcp,134.147.22.75,24282,255.88.18.88,23478,DROP
FORWARD,tcp,220.141.237.168,62779,68.94.253.10,61974,DROP
FORWARD,udp,74.170.101.3,63460,132.220.236.43,33113,ACCEPT
FORWARD,udp,54.248.112.183,7723,130.235.108.250,23000,DROP
INPUT,tcp,40.128.188.180,55535,198.242.92.99,11562,DROP
INPUT,udp,42.230.104.120,8435,42.129.4.176,14929,DROP
INPUT,tcp,82.134.254.81,4597,24.163.158.9,31189,DROP
OUTPUT,tcp,251.118.222.221,1950,242.42.117.77,64385,ACCEPT
INPUT,udp,247.3.39.43,29810,157.128.39.56,37127,ACCEPT
FORWARD,tcp,124.76.168.42,34365,173.36.215.184,26199,DROP
INPUT,udp,192.24.233.21,15640,2.18.13.152,28734,DROP
OUTPUT,tcp,42.117.155.61,48320,205.94.226.186,37564,DROP
FORWARD,udp,179.166.200.138,51682,19.46.40.123,9457,DROP
INPUT,tcp,238.150.240.96,45241,234.71.104.205,9196,ACCEPT
INPUT,tcp,231.236.14.59,57952,230.30.51.133,42213,ACCEPT
FORWARD,udp,117.58.94.83,18150,17.90.188.165,51723,ACCEPT
INPUT,udp,125.192.203.214,46019,59.131.1.143,6165,ACCEPT
OUTPUT,udp,13.133.104.119,43207,249.187.102.122,8060,DROP
FORWARD,tcp,254.211.34.214,13547,88.100.255.175,27809,ACCEPT
FORWARD,udp,150.65.75.196,11456,231.170.205.24,62909,ACCEPT
OUTPUT,udp,126.117.243.64,29037,221.163.187.38,50096,ACCEPT
OUTPUT,tcp,69.163.68.163,17798,139.216.138.195,40618,DROP
OUTPUT,udp,208.164.109.222,49931,231.228.174.253,34055,ACCEPT
OUTPUT,udp,70.130.141.232,47227,31.70.74.200,40123,ACCEPT
INPUT,tcp,92.13.60.98,11819,191.88.66.187,44521,DROP
OUTPUT,tcp,16.58.200.214,45121,34.220.98.180,6806,DROP
FORWARD,tcp,154.29.14.142,50207,2.166.53.207,26604,DROP
OUTPUT,udp,172.10.201.176,20658,26.199.184.213,27869,ACCEPT
OUTPUT,udp,168.180.205.70,48204,99.229.26.138,51244,ACCEPT
FORWARD,udp,29.89.139.105,38883,168.224.231.87,62039,DROP
FORWARD,tcp,39.167.212.135,36842,204.24.150.21,12410,DROP
INPUT,tcp,116.5.73.171,54847,254.170.221.166,53038,DROP
INPUT,tcp,148.21.98.3,3368,207.34.118.88,46037,ACCEPT
INPUT,tcp,57.216.206.254,8565,192.222.38.179,11976,DROP
FORWARD,udp,187.232.166.116,6199,123.177.201.108,33785,DROP
OUTPUT,udp,182.98.15.128,63143,228.211.170.236,50911,DROP
OUTPUT,tcp,186.148.88.132,10971,125.27.155.112,37540,DROP
INPUT,tcp,61.71.123.124,27760,237.211.208.121,5612,DROP
FORWARD,udp,228.202.15.124,45054,205.124.123.203,34204,DROP
OUTPUT,tcp,10.183.65.68,39778,6.246.14.227,44584,DROP
INPUT,tcp,203.242.190.238,27507,24.232.107.180,65037,ACCEPT
INPUT,udp,160.38.159.221,60652,130.25.39.0,32013,DROP
FORWARD,tcp,86.225.151.76,63004,65.112.99.161,15578,ACCEPT
FORWARD,tcp,218.237.27.96,28756,83.103.232.146,60591,ACCEPT
INPUT,udp,217.71.102.205,47360,25.252.8.32,47893,DROP
FORWARD,udp,135.241.179.169,50052,112.157.92.88,985,ACCEPT
OUTPUT,udp,253.124.14.182,23717,85.163.45.238,25697,DROP
INPUT,udp,190.39.103.244,49774,244.99.113.93,60039,DROP
INPUT,udp,132.97.82.198,32012,130.42.241.141,36163,DROP
FORWARD,tcp,33.252.123.244,52422,183.230.217.48,51669,DROP
FORWARD,udp,180.97.94.16,4789,107.233.85.191,27473,ACCEPT
FORWARD,tcp,237.68.247.230,5439,34.238.188.21,24708,ACCEPT
FORWARD,udp,75.146.163.151,50082,222.137.163.143,47252,ACCEPT
OUTPUT,tcp,90.243.100.50,14089,90.47.82.88,23055,DROP
INPUT,tcp,86.59.67.180,20918,87.183.229.89,56321,ACCEPT
FORWARD,tcp,139.22.175.3,6938,228.36.83.176,43858,DROP
INPUT,udp,173.28.137.253,19266,251.245.89.226,11694,ACCEPT
FORWARD,tcp,30.155.163.2,27559,254.4.42.78,13864,DROP
OUTPUT,tcp,73.77.150.13,48487,168.156.70.173,15924,DROP
OUTPUT,tcp,71.158.234.86,16241,70.78.237.139,46077,ACCEPT
OUTPUT,tcp,60.141.50.133,30066,17.85.28.128,49995,DROP
INPUT,tcp,107.251.98.207,7974,137.41.166.243,63528,ACCEPT
FORWARD,udp,49.138.203.173,48896,230.4.171.112,28291,ACCEPT
OUTPUT,tcp,29.211.125.69,26018,243.32.89.81,47815,ACCEPT
INPUT,tcp,84.43.246.55,32274,146.7.160.249,49291,DROP
OUTPUT,udp,14.114.17.171,56317,37.239.225.2,47585,DROP
INPUT,udp,209.154.140.166,61248,47.121.107.112,57980,DROP
FORWARD,udp,145.128.52.188,38255,32.8.161.234,44340,DROP
FORWARD,udp,34.101.140.225,37759,45.157.89.42,1984,ACCEPT
FORWARD,udp,134.135.137.184,63870,255.75.28.35,8610,ACCEPT
INPUT,tcp,251.229.8.208,8836,192.125.54.151,12829,DROP
INPUT,tcp,176.237.82.125,35227,25.43.157.169,61977,ACCEPT
INPUT,tcp,178.112.162.10,2504,102.255.168.97,6581,DROP
OUTPUT,udp,237.157.43.233,44567,188.192.186.15,36070,DROP
INPUT,tcp,148.123.114.120,29713,37.82.105.78,7575,ACCEPT
OUTPUT,udp,217.18.193.158,27712,85.83.54.177,28502,ACCEPT
FORWARD,udp,228.212.247.168,55871,155.254.12.14,34505,ACCEPT
OUTPUT,tcp,90.122.156.175,38290,61.234.11.219,9346,DROP
INPUT,udp,102.18.215.163,9867,186.14.112.126,19255,ACCEPT
INPUT,tcp,85.104.116.170,41503,97.178.172.210,14801,DROP
INPUT,udp,108.84.142.196,34006,28.139.69.39,12993,ACCEPT
FORWARD,udp,108.211.145.16,64377,42.255.82.72,17209,ACCEPT
OUTPUT,udp,130.242.128.180,16029,80.245.67.112,43826,DROP
FORWARD,tcp,48.11.200.8,14549,213.150.235.138,3013,ACCEPT
OUTPUT,udp,159.46.201.132,58361,199.52.174.154,96,ACCEPT
INPUT,udp,154.144.239.201,25230,81.97.223.236,60722,ACCEPT
OUTPUT,tcp,106.84.234.173,18703,207.135.227.61,30254,DROP
INPUT,udp,187.149.62.60,12551,139.220.220.97,1208,DROP
INPUT,udp,174.51.84.78,56462,41.32.222.32,3119,DROP
OUTPUT,udp,85.151.69.244,1563,149.137.223.46,17482,DROP
OUTPUT,udp,243.23.60.25,26091,226.11.0.243,3703,DROP
FORWARD,tcp,76.236.45.123,29903,52.111.90.119,48052,DROP
INPUT,tcp,212.186.106.51,24505,17.183.51.129,35199,DROP
INPUT,udp,131.210.214.111,4615,228.153.108.138,33678,DROP
INPUT,tcp,195.35.238.157,19679,22.193.93.51,13842,ACCEPT
FORWARD,tcp,158.198.199.13,42669,145.191.45.235,50061,ACCEPT
OUTPUT,udp,231.142.75.186,34966,92.125.236.70,14375,DROP
FORWARD,tcp,184.193.200.96,61803,154.61.246.17,41148,DROP
OUTPUT,udp,89.95.127.41,62096,29.165.43.143,12336,DROP
INPUT,tcp,193.214.181.124,57316,105.156.199.18,4090,DROP
INPUT,tcp,141.251.178.58,47855,49.84.7.15,3953,DROP
INPUT,tcp,230.133.129.0,57207,104.246.161.116,42166,DROP
OUTPUT,tcp,211.21.97.212,17026,243.41.31.43,9349,DROP
INPUT,tcp,75.186.215.26,61429,120.206.59.73,14841,ACCEPT
INPUT,udp,61.43.221.44,57856,244.235.92.173,3125,ACCEPT
FORWARD,tcp,182.157.63.39,54061,254.139.65.84,18893,DROP
OUTPUT,udp,171.210.126.190,64494,103.146.182.111,39925,ACCEPT
OUTPUT,tcp,79.185.87.132,21544,17.235.219.245,20765,DROP
FORWARD,tcp,201.159.236.213,23677,215.108.176.125,28775,DROP
INPUT,udp,90.109.195.183,52531,119.192.229.26,19019,ACCEPT
INPUT,udp,31.206.239.14,48935,51.8.66.72,31599,DROP
FORWARD,tcp,28.130.55.123,47633,1.143.1.33,8960,ACCEPT
INPUT,udp,42.160.32.121,15580,170.104.58.253,36384,ACCEPT
INPUT,tcp,128.94.121.247,54270,199.170.126.8,4873,DROP
FORWARD,tcp,20.46.146.246,8643,93.236.154.254,25485,ACCEPT
OUTPUT,udp,235.31.65.101,1245,150.195.136.28,28635,ACCEPT
INPUT,tcp,206.69.31.92,35013,148.56.96.36,17624,DROP
INPUT,udp,138.86.251.191,47739,197.224.33.67,24898,DROP
OUTPUT,udp,182.63.41.177,539,36.3.86.75,27209,DROP
FORWARD,udp,150.212.57.48,7631,202.132.86.138,47819,DROP
INPUT,udp,144.241.149.72,16974,234.10.215.13,36127,ACCEPT
OUTPUT,tcp,82.132.31.135,36096,116.233.215.100,3542,DROP
FORWARD,udp,100.115.158.188,38522,178.47.176.223,28737,ACCEPT
FORWARD,udp,224.135.170.142,9831,105.70.135.26,62550,ACCEPT
INPUT,tcp,139.162.230.211,12771,146.158.23.91,24044,DROP
OUTPUT,udp,204.228.142.196,58182,20.187.145.226,33939,ACCEPT
INPUT,udp,199.169.120.232,28398,104.236.98.24,11296,ACCEPT
FORWARD,tcp,153.114.105.114,33789,170.254.204.151,56186,DROP
INPUT,tcp,247.23.253.18,44837,203.134.76.58,50109,DROP
OUTPUT,udp,108.118.57.243,22524,219.114.108.45,48472,ACCEPT
FORWARD,tcp,139.56.129.244,63456,245.203.227.93,17678,ACCEPT
FORWARD,tcp,236.0.218.247,58666,86.59.197.154,40541,ACCEPT
INPUT,udp,247.204.243.73,32103,98.71.174.37,42472,DROP
OUTPUT,tcp,113.180.251.23,10518,57.237.39.235,25729,DROP
OUTPUT,tcp,243.38.185.63,33748,23.5.49.100,59160,ACCEPT
INPUT,tcp,170.89.88.43,62582,133.148.175.101,25073,DROP
FORWARD,tcp,239.16.101.254,58508,74.178.103.75,43122,DROP
INPUT,tcp,87.160.83.64,59733,92.210.18.137,28716,DROP
INPUT,udp,186.52.129.18,45609,171.98.95.41,60132,DROP
FORWARD,udp,3.55.6.152,52841,154.5.74.231,39103,DROP
INPUT,tcp,10.214.67.236,19030,107.103.144.174,61544,DROP
INPUT,tcp,234.181.99.19,49564,169.78.112.165,48890,ACCEPT
INPUT,tcp,216.117.148.239,2558,85.253.175.232,28233,ACCEPT
OUTPUT,tcp,191.243.237.111,53577,132.181.113.251,42315,DROP
FORWARD,udp,135.192.158.137,60774,2.20.83.75,35047,DROP
OUTPUT,tcp,30.127.129.3,14357,34.207.22.153,26992,DROP
OUTPUT,udp,227.210.208.13,25631,68.96.215.81,59037,ACCEPT
